"Timestamp","TC ID","What is your gender?","Which country are you taking your online classes from presently?","On average, how many hours do you spend ﻿on your academic per week?","On average, how many hours do you spend ﻿on extracurricular activities per week?","What technology do you use for online learning? ","What  is  your connection speed while taking online classes?","Do you enjoy arts and crafts activities?","Do you personally find origami to be a relaxing activity?","How engaging was the lesson? Do you think the video format works for online origami classes?","Would you have preferred this online origami class in a different format? If so, what do you suggest?","How did you find the instruction/directions of the session?","How motivated were you in completing the origami?","Did you complete both the origami, and if you did not, at what point did you stop?","If you stopped the activity within the assigned 20 minutes, why did you stop? (e.g. lack of motivation, difficulty levels, etc) ","Which format would be most joyful for an Origami class, in your opinion? (Under non-pandemic conditions)","What would potentially stop you from taking an online origami class?","Please insert a photograph of your origami butterfly.","Please insert a photograph of your origami frog.","","","","","","","","","","","","",""
"2021/05/27 8:25:33 AM AST","dss2189","Male","china","10-15 hours","5-10 hours","Laptop","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I am alright with Arts and Crafts but it is not my favourite hobby","Yes, I think so, when I can find time to do it","The session was interesting but I would have preferred to not have it in the form of a video","none","Could have been instructed better","I wanted to ensure I complete both the origami","I completed the Frog alone","","Online Group Class","none","https://drive.google.com/u/0/open?usp=forms_web&id=14xAaxzOVkvfOdbTXUHPuG-aUaKHhGf2A","","","","","","","","","","","","","",""
"2021/05/27 8:28:14 AM AST","T00044043","Female","China","10-15 hours","10-15 hours","Laptop;Smart phone","Moderate. Enough to get online, checkin, and comfortably browse the web.","I love Arts and Crafts activities","Yes, I think so, when I can find time to do it","The session was interesting but I would have preferred to not have it in the form of a video","Step by step instruction by human teacher","Could have been instructed better","I wanted to perfect how much ever I have completed","I couldn't complete both","","In-Person Group Class","Can't follow the steps in engaging manner","https://drive.google.com/u/0/open?usp=forms_web&id=1ak8xWBQ6sEr0i1NnG6WPxfQT-0d_lUst","https://drive.google.com/u/0/open?usp=forms_web&id=1_xgiSd6uMYELdj8fkQyVIe7O6NlxfIF4","","","","","","","","","","","","",""
"2021/05/27 8:30:23 AM AST","Xx2376","Female","Us","0-5 hours","0-5 hours","iPad","Moderate. Enough to get online, checkin, and comfortably browse the web.","I love Arts and Crafts activities","Yes, I think so, when I can find time to do it","The session was very interesting and the videos helped","No","Could have been instructed better","I focussed on enjoying the activity and complete as much as possible","I completed both (Frog and butterfly)","","In-Person Group Class","Confused step, lonely","https://drive.google.com/u/0/open?usp=forms_web&id=1I3rDGOruTIvmIKJsMy_h_tqP5SZVsEgJ","https://drive.google.com/u/0/open?usp=forms_web&id=10AwPiZUJKEn7isH_vbsPSDQI06IYphfD","","","","","","","","","","","","",""
"2021/05/27 8:31:36 AM AST","yw3607","Female","US","15+ hours","10-15 hours","Desktop PC;Laptop;iPad","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I love Arts and Crafts activities","Yes, it is, and I'd probably like to do it more","The session was very interesting and the videos helped","No","Very clear","I wanted to ensure I complete both the origami","I completed the Butterfly alone","","Online individual class","Unclear instructions ","","","","","","","","","","","","","","",""
"2021/05/27 8:32:25 AM AST","cc4144","Female","U.S.","15+ hours","0-5 hours","Laptop","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I don't enjoy Arts and Crafts activities","No, not at all","Somewhat engaging","In-person","Could have been instructed better","I focussed on enjoying the activity and complete as much as possible","I completed the Butterfly alone","Difficulty level","In-Person Group Class","Interest/Motivation","https://drive.google.com/u/0/open?usp=forms_web&id=1dmfsCLq3FskRI1wOShWeb10glSZom7Ey","https://drive.google.com/u/0/open?usp=forms_web&id=1lfz5F8X_o6wUROxYaWRTVdf_XLsquyg6","","","","","","","","","","","","",""
"2021/05/27 8:35:07 AM AST","Ag4399","Female","USA","0-5 hours","15+ hours","Laptop","Lightning Speed. Fastest possible connection for all sorts of projects and activities.","I am alright with Arts and Crafts but it is not my favourite hobby","Yes, it is, and I'd probably like to do it more","The session was very interesting and the videos helped"," ","Very clear","I focussed on enjoying the activity and complete as much as possible","I completed both (Frog and butterfly)"," ","In-Person Group Class"," ","https://drive.google.com/u/0/open?usp=forms_web&id=1_vRx1IT_TiCRkHs_MVNFY6Fd8tallw9O","https://drive.google.com/u/0/open?usp=forms_web&id=1UOirh7xUTLuux7oMep3D5jTAhCgcPFNo","","","","","","","","","","","","",""
"2021/05/27 8:36:40 AM AST","sg3913","Male","China","10-15 hours","5-10 hours","Laptop","Moderate. Enough to get online, checkin, and comfortably browse the web.","I am alright with Arts and Crafts but it is not my favourite hobby","Yes, I think so, when I can find time to do it","The session was interesting but I would have preferred to not have it in the form of a video","Yes，i haven't fininshed the frog yet","Could have been instructed better","I wanted to ensure I complete both the origami","I completed the Butterfly alone","","Online Group Class","Internet lag","https://drive.google.com/u/0/open?usp=forms_web&id=1fPHwOC_EGatkL4wK5lTyDvrau0y0c6Kz","https://drive.google.com/u/0/open?usp=forms_web&id=1ZR4prjstsK5YMqiqiqb5swoIp9ZEkr-E","","","","","","","","","","","","",""
"2021/05/27 9:03:28 AM AST","T00044779","Male","China","10-15 hours","15+ hours","Laptop;Smart phone","Lightning Speed. Fastest possible connection for all sorts of projects and activities.","I am alright with Arts and Crafts but it is not my favourite hobby","Yes, I think so, when I can find time to do it","The session was very interesting and the videos helped","no, what you did is perfect","Very clear","I focussed on enjoying the activity and complete as much as possible","I completed both (Frog and butterfly)","","Online Group Class","network","https://drive.google.com/u/0/open?usp=forms_web&id=1L9D-zl95RATlBnn8GS7qldmR8UbzUfKN","https://drive.google.com/u/0/open?usp=forms_web&id=1316oxA-taU-hR1jpvIwlb-a3CT09dp8T","","","","","","","","","","","","",""
"2021/05/27 9:56:34 AM AST","cl3584","Male","USA","0-5 hours","5-10 hours","Desktop PC;Laptop","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I love Arts and Crafts activities","No, not at all","The session was interesting but I would have preferred to not have it in the form of a video","No","Very clear","I focussed on enjoying the activity and complete as much as possible","I completed both (Frog and butterfly)","","In-Person Group Class","Lack of interest in origami","https://drive.google.com/u/0/open?usp=forms_web&id=1CdbiQKF1xhodv6W7A610tvNMIxn77INb","https://drive.google.com/u/0/open?usp=forms_web&id=1UbgslEW2Ur7KD8A8_enDaExtu-dFThgc","","","","","","","","","","","","",""
"2021/05/27 2:34:58 PM AST"," T00048253","Male","China","10-15 hours","0-5 hours","Desktop PC;Laptop;iPad;Smart phone","Moderate. Enough to get online, checkin, and comfortably browse the web.","I love Arts and Crafts activities","Yes, I think so, when I can find time to do it","The session was very interesting and the videos helped","No idea","Very clear","I focussed on enjoying the activity and complete as much as possible","I completed the Frog alone","Difficulty levels","I do not have a preference of format","Heavy HW","","","","","","","","","","","","","","",""
"2021/05/27 5:57:43 PM AST","TC3080","Female","U.S","10-15 hours","10-15 hours","iPad","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I love Arts and Crafts activities","Yes, it is, and I'd probably like to do it more","The session was interesting but I would have preferred to not have it in the form of a video","Live teaching session","Very clear","I focussed on enjoying the activity and complete as much as possible","I couldn't complete both","Lack of motivation ","In-Person Group Class","No different from watching video online.","","","","","","","","","","","","","","",""
"2021/06/02 11:33:41 AM AST","zc2594","Male","U.S","15+ hours","10-15 hours","Laptop;iPad;Smart phone","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I love Arts and Crafts activities","Yes, it is, and I'd probably like to do it more","The session was very interesting and the videos helped","In-peron will me more fun","Could have been instructed better","I focussed on enjoying the activity and complete as much as possible","I couldn't complete both","","In-person individual class","","","","","","","","","","","","","","","",""
